Date,EUR to USD Rate,TUR to USD Rate
19/09/2015,1.13589,0.333364
20/09/2015,1.130103,0.332757
21/09/2015,1.130103,0.332757
22/09/2015,1.11949,0.33305
23/09/2015,1.1125,0.330912
24/09/2015,1.119595,0.32838
25/09/2015,1.12377,0.328128
26/09/2015,1.117306,0.32886
27/09/2015,1.119464,0.328299
28/09/2015,1.119464,0.328299
29/09/2015,1.12385,0.327219
30/09/2015,1.1246,0.329261
1/10/2015,1.117255,0.330393
2/10/2015,1.11935,0.33016
3/10/2015,1.122125,0.334184
4/10/2015,1.121083,0.334381
5/10/2015,1.121083,0.334381
6/10/2015,1.11765,0.334519
7/10/2015,1.12639,0.337365
8/10/2015,1.12342,0.341011
9/10/2015,1.12815,0.343845
10/10/2015,1.13822,0.34345
11/10/2015,1.135899,0.343359
12/10/2015,1.135899,0.343359
13/10/2015,1.1376,0.342302
14/10/2015,1.13855,0.338828
15/10/2015,1.1437,0.3424
16/10/2015,1.14145,0.34684
17/10/2015,1.13848,0.345122
18/10/2015,1.134939,0.345805
19/10/2015,1.134939,0.345805
20/10/2015,1.1321,0.344815
21/10/2015,1.13525,0.344948
22/10/2015,1.13405,0.345473
23/10/2015,1.11285,0.3485
24/10/2015,1.10155,0.343275
25/10/2015,1.101898,0.343903
26/10/2015,1.101898,0.343903
27/10/2015,1.1051,0.346366
28/10/2015,1.10325,0.343842
29/10/2015,1.10725,0.345825
30/10/2015,1.0964,0.340255
31/10/2015,1.10235,0.343039
1/11/2015,1.1006,0.343018
2/11/2015,1.1006,0.343018
3/11/2015,1.1027,0.353719
4/11/2015,1.09405,0.353092
5/11/2015,1.08545,0.34904
6/11/2015,1.0873,0.34877
7/11/2015,1.07415,0.341545
8/11/2015,1.073883,0.343018
9/11/2015,1.073883,0.343018
10/11/2015,1.0769,0.342648
11/11/2015,1.06895,0.342751
12/11/2015,1.07385,0.346542
13/11/2015,1.077226,0.348977
14/11/2015,1.0727,0.34884
15/11/2015,1.077081,0.349199
16/11/2015,1.077081,0.349199
17/11/2015,1.071002,0.347427
18/11/2015,1.0641,0.348333
19/11/2015,1.06325,0.348871
20/11/2015,1.07425,0.351626
21/11/2015,1.0655,0.353291
22/11/2015,1.064793,0.353132
23/11/2015,1.064793,0.353132
24/11/2015,1.06035,0.350884
25/11/2015,1.0649,0.347845
26/11/2015,1.06185,0.346533
27/11/2015,1.06075,0.342485
